Headers;Contents
Art. 185. Kwalifikowane typy przestępstw przeciwko środowisku;"§ 1. Jeżeli następstwem czynu określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1 lub 3 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2 jest zniszczenie w świecie roślinnym lub zwierzęcym w znacznych rozmiarach lub istotne obniżenie jakości wody, powietrza lub powierzchni ziemi, sprawca
podlega karze pozbawienia wolności od lat 2 do 12.
§ 2. Jeżeli następstwem czynu określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1 lub 3 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2 jest ciężki uszczerbek na zdrowiu człowieka, sprawca
podlega karze pozbawienia wolności od lat 2 do 12.
§ 3. Jeżeli następstwem czynu określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1 lub 3 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od lat 3 do 20."
Art. 186. Niedopełnienie obowiązków dbałości o urządzenia zabezpieczające środowisko;"§ 1. Kto wbrew obowiązkowi nie utrzymuje w należytym stanie lub nie używa urządzeń zabezpieczających wodę, powietrze lub powierzchnię ziemi przed zanieczyszczeniem lub urządzeń zabezpieczających przed skażeniem promieniotwórczym lub promieniowaniem jonizującym,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega, kto oddaje lub wbrew obowiązkowi dopuszcza do użytkowania obiekt budowlany lub zespół obiektów nie mających wymaganych prawem urządzeń określonych w § 1.
§ 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,
podlega grzywnie albo karze ograniczenia wolności."
Art. 187. Niszczenie i uszkadzanie terenów i obiektów prawnie chronionych;"§ 1. Kto niszczy, poważnie uszkadza lub istotnie zmniejsza wartość przyrodniczą prawnie chronionego terenu lub obiektu, powodując istotną szkodę,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega grzywnie albo karze ograniczenia wolności."
Art. 188. Prowadzenie działalności zagrażającej środowisku;"Kto, na terenie objętym ochroną ze względów przyrodniczych lub krajobrazowych albo w otulinie takiego terenu, wbrew przepisom, wznosi nowy lub powiększa istniejący obiekt budowlany albo prowadzi działalność gospodarczą zagrażającą środowisku,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 188a. Nadzwyczajne złagodzenie kary lub odstąpienie od jej wymierzenia;Wobec sprawcy przestępstwa określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1, 3, 5a lub 6 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2, który dobrowolnie naprawił szkodę w całości albo w znacznej części, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.
Art. 189. Pozbawienie człowieka wolności;"§ 1. Kto pozbawia człowieka wolności,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Jeżeli pozbawienie wolności trwało dłużej niż 7 dni, sprawca
podlega karze pozbawienia wolności od roku do lat 10.
§ 2a. Jeżeli pozbawienie wolności, o którym mowa w § 2, dotyczy osoby nieporadnej ze względu na jej wiek, stan psychiczny lub fizyczny, sprawca
podlega karze pozbawienia wolności od lat 2 do 15.
§ 3. Jeżeli pozbawienie wolności, o którym mowa w § 1–2a, łączyło się ze szczególnym udręczeniem, sprawca
podlega karze pozbawienia wolności od lat 5 do 25."
Art. 189a. Handel ludźmi;"§ 1. Kto dopuszcza się handlu ludźmi, podlega karze pozbawienia wolności od lat 3 do 20.
§ 2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1, podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 190. Groźba karalna;"§ 1. Kto grozi innej osobie popełnieniem przestępstwa na jej szkodę lub na szkodę osoby dla niej najbliższej, jeżeli groźba wzbudza w osobie, do której została skierowana lub której dotyczy, uzasadnioną obawę, że będzie spełniona,
podlega karze pozbawienia wolności do lat 3.
§ 2. Ściganie następuje na wniosek pokrzywdzonego."
Art. 190a. Stalking;"§ 1. Kto przez uporczywe nękanie innej osoby lub osoby dla niej najbliższej wzbudza u niej uzasadnione okolicznościami poczucie zagrożenia, poniżenia lub udręczenia lub istotnie narusza jej prywatność,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Tej samej karze podlega, kto, podszywając się pod inną osobę, wykorzystuje jej wizerunek, inne jej dane osobowe lub inne dane, za pomocą których jest ona publicznie identyfikowana, przez co wyrządza jej szkodę majątkową lub osobistą.
§ 3. Jeżeli następstwem czynu określonego w § 1 lub 2 jest targnięcie się pokrzywdzonego na własne życie, sprawca podlega karze pozbawienia wolności od lat 2 do 15.
§ 4. Ściganie przestępstwa określonego w § 1 lub 2 następuje na wniosek pokrzywdzonego."
Art. 191. Zmuszanie do określonego zachowania lub utrudnianie korzystania z lokalu mieszkalnego;"§ 1. Kto, stosując przemoc wobec osoby lub groźbę bezprawną, zmusza ją lub inną osobę do określonego działania, zaniechania lub znoszenia,
podlega karze pozbawienia wolności do lat 3.
§ 1a. Tej samej karze podlega, kto w celu zmuszenia innej osoby do określonego działania, zaniechania lub znoszenia stosuje przemoc innego rodzaju uporczywie lub w sposób istotnie utrudniający innej osobie korzystanie z zajmowanego lokalu mieszkalnego.
§ 2. Jeżeli sprawca działa w sposób określony w § 1 w celu wymuszenia zwrotu wierzytelności,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Ściganie przestępstwa określonego w § 1 lub 1a następuje na wniosek pokrzywdzonego."
Art. 191a. Utrwalanie wizerunku nagiej osoby;"§ 1. Kto utrwala wizerunek nagiej osoby lub osoby w trakcie czynności seksualnej, używając w tym celu wobec niej przemocy, groźby bezprawnej lub podstępu, albo wizerunek nagiej osoby lub osoby w trakcie czynności seksualnej bez jej zgody rozpowszechnia,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Ściganie następuje na wniosek pokrzywdzonego."
Art. 191b. Doprowadzenie przemocą, groźbą bezprawną, nadużycie stosunku zależności lub wykorzystanie krytycznego położenia do zawarcia małżeństwa;"§ 1. Kto przemocą, groźbą bezprawną lub przez nadużycie stosunku zależności lub wykorzystanie krytycznego położenia doprowadza inną osobę do zawarcia małżeństwa lub związku, który odpowiada małżeństwu w kręgu wyznaniowym lub kulturowym sprawcy,
podlega karze pozbawienia wolności od 3 miesięcy do 5 lat.
§ 2. Tej samej karze podlega kto w celu popełnienia przestępstwa określonego w § 1, używając podstępu lub nadużywając stosunku zależności lub wykorzystując krytyczne położenie, nakłania inną osobę do opuszczenia terytorium Rzeczypospolitej Polskiej."
Art. 192. Wykonywanie zabiegu leczniczego bez zgody pacjenta;"§ 1. Kto wykonuje zabieg leczniczy bez zgody pacjenta,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Ściganie następuje na wniosek pokrzywdzonego."
Art. 193. Zakłócanie miru domowego;"§ 1. Kto wdziera się do cudzego domu, mieszkania, lokalu, pomieszczenia albo ogrodzonego terenu albo wbrew żądaniu osoby uprawnionej miejsca takiego nie opuszcza,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 2. Ściganie następuje na wniosek pokrzywdzonego."
Art. 194. Dyskryminacja wyznaniowa;"Kto ogranicza człowieka w przysługujących mu prawach ze względu na jego przynależność wyznaniową albo bezwyznaniowość,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 195. Złośliwe przeszkadzanie publicznemu wykonywaniu aktów religijnych;"§ 1. Kto złośliwie przeszkadza publicznemu wykonywaniu aktu religijnego kościoła lub innego związku wyznaniowego o uregulowanej sytuacji prawnej,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Tej samej karze podlega, kto złośliwie przeszkadza pogrzebowi, uroczystościom lub obrzędom żałobnym."
Art. 196. Obrażanie uczuć religijnych innych osób;"Kto obraża uczucia religijne innych osób, znieważając publicznie przedmiot czci religijnej lub miejsce przeznaczone do publicznego wykonywania obrzędów religijnych,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 197. Zgwałcenie lub wymuszenie czynności seksualnej;"§ 1. Kto przemocą, groźbą bezprawną lub podstępem doprowadza inną osobę do obcowania płciowego,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 2. Jeżeli sprawca, w sposób określony w § 1, doprowadza inną osobę do poddania się innej czynności seksualnej albo wykonania takiej czynności,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 3. Jeżeli sprawca dopuszcza się zgwałcenia:
1) wspólnie z inną osobą,
2) (uchylony)
3) wobec wstępnego, zstępnego, przysposobionego, przysposabiającego, brata lub siostry,
4) posługując się bronią palną, nożem lub innym podobnie niebezpiecznym przedmiotem lub środkiem obezwładniającym albo działając w inny sposób bezpośrednio zagrażający życiu,
5) wobec kobiety ciężarnej,
6) utrwalając obraz lub dźwięk z przebiegu czynu,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 4. Jeżeli sprawca dopuszcza się zgwałcenia wobec małoletniego poniżej lat 15 lub sprawca czynu określonego w § 1–3 działa ze szczególnym okrucieństwem lub następstwem tego czynu jest ciężki uszczerbek na zdrowiu,
podlega karze pozbawienia wolności na czas nie krótszy od lat 5 albo karze dożywotniego pozbawienia wolności.
§ 5. Jeżeli następstwem czynu określonego w § 1–4 jest śmierć człowieka, sprawca
podlega karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności."
Art. 198. Seksualne wykorzystanie bezradności lub niepoczytalności innej osoby;"Kto, wykorzystując bezradność innej osoby lub wynikający z upośledzenia umysłowego lub choroby psychicznej brak zdolności tej osoby do rozpoznania znaczenia czynu lub pokierowania swoim postępowaniem, doprowadza ją do obcowania płciowego lub do poddania się innej czynności seksualnej albo do wykonania takiej czynności,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 199. Seksualne nadużycie stosunku zależności lub krytycznego położenia;"§ 1. Kto, przez nadużycie stosunku zależności lub wykorzystanie krytycznego położenia, doprowadza inną osobę do obcowania płciowego lub do poddania się innej czynności seksualnej albo do wykonania takiej czynności,
podlega karze pozbawienia wolności do lat 3.
§ 2. Jeżeli czyn określony w § 1 został popełniony na szkodę małoletniego, sprawca podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Karze określonej w § 2 podlega, kto obcuje płciowo z małoletnim lub dopuszcza się wobec takiej osoby innej czynności seksualnej albo doprowadza ją do poddania się takim czynnościom albo do ich wykonania, nadużywając zaufania lub udzielając w zamian korzyści majątkowej lub osobistej albo jej obietnicy."
Art. 200. Obcowanie płciowe z osobą małoletnią lub doprowadzenie jej do poddania się czynnościom seksualnym;"§ 1. Kto obcuje płciowo z małoletnim poniżej lat 15 lub dopuszcza się wobec takiej osoby innej czynności seksualnej lub doprowadza ją do poddania się takim czynnościom albo do ich wykonania,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 2. (uchylony)
§ 3. Kto małoletniemu poniżej lat 15 prezentuje treści pornograficzne lub udostępnia mu przedmioty mające taki charakter albo rozpowszechnia treści pornograficzne w sposób umożliwiający takiemu małoletniemu zapoznanie się z nimi, podlega karze pozbawienia wolności do lat 3.
§ 4. Karze określonej w § 3 podlega, kto w celu swojego zaspokojenia seksualnego lub zaspokojenia seksualnego innej osoby prezentuje małoletniemu poniżej lat 15 wykonanie czynności seksualnej.
§ 5. Karze określonej w § 3 podlega, kto prowadzi reklamę lub promocję działalności polegającej na rozpowszechnianiu treści pornograficznych w sposób umożliwiający zapoznanie się z nimi małoletniemu poniżej lat 15.
§ 6. Skazując sprawcę, który popełnił przestępstwo określone w § 1, 3 lub 4 wobec małoletniego poniżej lat 15, który w chwili czynu pozostawał w stosunku zależności od sprawcy, w szczególności pod jego pieczą, lub z wykorzystaniem krytycznego położenia małoletniego poniżej lat 15, sąd orzeka karę pozbawienia wolności przewidzianą za przypisane sprawcy przestępstwo w wysokości od dolnej granicy ustawowego zagrożenia zwiększonego o połowę."
Art. 200a. Elektroniczny kontakt z osobą małoletnią w celach pedofilskich;"§ 1. Kto w celu popełnienia przestępstwa określonego w art. 197 zgwałcenie lub wymuszenie czynności seksualnej § 4 lub art. 200 obcowanie płciowe z osobą małoletnią lub doprowadzenie jej do poddania się czynnościom seksualnym, jak również produkowania lub utrwalania treści pornograficznych, za pośrednictwem systemu teleinformatycznego lub sieci telekomunikacyjnej nawiązuje kontakt z małoletnim poniżej lat 15, zmierzając, za pomocą wprowadzenia go w błąd, wyzyskania błędu lub niezdolności do należytego pojmowania sytuacji albo przy użyciu groźby bezprawnej, do spotkania z nim,
podlega karze pozbawienia wolności do lat 3.
§ 2. Kto za pośrednictwem systemu teleinformatycznego lub sieci telekomunikacyjnej małoletniemu poniżej lat 15 składa propozycję obcowania płciowego, poddania się lub wykonania innej czynności seksualnej lub udziału w produkowaniu lub utrwalaniu treści pornograficznych, i zmierza do jej realizacji,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 200b. Publiczne propagowanie lub pochwalanie zachowania o charakterze pedofilskim;"Kto publicznie propaguje lub pochwala zachowania o charakterze pedofilskim,
podlega karze pozbawienia wolności do lat 3."
Art. 201. Kazirodztwo;"Kto dopuszcza się obcowania płciowego w stosunku do wstępnego, zstępnego, przysposobionego, przysposabiającego, brata lub siostry,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 202. Publiczna prezentacja lub produkcja, rozpowszechnianie, przechowywanie i posiadanie treści pornograficznych;"§ 1. Kto publicznie prezentuje treści pornograficzne w taki sposób, że może to narzucić ich odbiór osobie, która tego sobie nie życzy,
podlega karze pozbawienia wolności do lat 3.
§ 2. (uchylony)
§ 3. Kto w celu rozpowszechniania produkuje, utrwala lub sprowadza, przechowuje lub posiada albo rozpowszechnia lub prezentuje treści pornograficzne z udziałem małoletniego albo treści pornograficzne związane z prezentowaniem przemocy lub posługiwaniem się zwierzęciem, podlega karze pozbawienia wolności od lat 2 do 15.
§ 4. Kto utrwala treści pornograficzne z udziałem małoletniego, podlega karze pozbawienia wolności od roku do lat 10.
§ 4a. Kto przechowuje, posiada lub uzyskuje dostęp do treści pornograficznych z udziałem małoletniego, podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 4b. Kto produkuje, rozpowszechnia, prezentuje, przechowuje lub posiada treści pornograficzne przedstawiające wytworzony albo przetworzony wizerunek małoletniego uczestniczącego w czynności seksualnej
podlega karze pozbawienia wolności do lat 3.
§ 4c. Karze określonej w § 4b podlega, kto w celu zaspokojenia seksualnego uczestniczy w prezentacji treści pornograficznych z udziałem małoletniego.
§ 5. Sąd może orzec przepadek narzędzi lub innych przedmiotów, które służyły lub były przeznaczone do popełnienia przestępstw określonych w § 1-4b, chociażby nie stanowiły własności sprawcy."
Art. 203. Zmuszanie do uprawiania prostytucji;"§ 1. Kto, wykorzystując stosunek zależności lub krytyczne położenie, doprowadza inną osobę do uprawiania prostytucji,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Kto, przemocą, groźbą bezprawną lub podstępem doprowadza inną osobę do uprawiania prostytucji,
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 204. Stręczycielstwo, sutenerstwo i kuplerstwo;"§ 1. Kto, w celu osiągnięcia korzyści majątkowej, nakłania inną osobę do uprawiania prostytucji lub jej to ułatwia, podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Karze określonej w § 1 podlega, kto czerpie korzyści majątkowe z uprawiania prostytucji przez inną osobę.
§ 3. Jeżeli osoba określona w § 1 lub 2 jest małoletnim, sprawca
podlega karze pozbawienia wolności od roku do lat 10.
§ 4. (uchylony)"
Art. 205. Uchylony;
Art. 206. Bigamia;"Kto zawiera małżeństwo, pomimo że pozostaje w związku małżeńskim,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 207. Znęcanie się;"§ 1. Kto znęca się fizycznie lub psychicznie nad osobą najbliższą lub nad inną osobą pozostającą w stałym lub przemijającym stosunku zależności od sprawcy,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 1a. Kto znęca się fizycznie lub psychicznie nad osobą nieporadną ze względu na jej wiek, stan psychiczny lub fizyczny,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Jeżeli czyn określony w § 1 lub 1a połączony jest ze stosowaniem szczególnego okrucieństwa, sprawca
podlega karze pozbawienia wolności od roku do lat 10.
§ 3. Jeżeli następstwem czynu określonego w § 1–2 jest targnięcie się pokrzywdzonego na własne życie, sprawca
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 208. Rozpijanie osoby małoletniej;"Kto rozpija małoletniego, dostarczając mu napoju alkoholowego, ułatwiając jego spożycie lub nakłaniając go do spożycia takiego napoju,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 209. Uchylanie się od obowiązku alimentacyjnego;"§ 1. Kto uchyla się od wykonania obowiązku alimentacyjnego określonego co do wysokości orzeczeniem sądowym, ugodą zawartą przed sądem albo innym organem albo inną umową, jeżeli łączna wysokość powstałych wskutek tego zaległości stanowi równowartość co najmniej 3 świadczeń okresowych albo jeżeli opóźnienie zaległego świadczenia innego niż okresowe wynosi co najmniej 3 miesiące,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 1a. Jeżeli sprawca czynu określonego w § 1 naraża osobę uprawnioną na niemożność zaspokojenia podstawowych potrzeb życiowych,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Ściganie przestępstwa określonego w § 1 lub 1a następuje na wniosek pokrzywdzonego, organu pomocy społecznej lub organu podejmującego działania wobec dłużnika alimentacyjnego.
§ 3. Jeżeli pokrzywdzonemu przyznano odpowiednie świadczenia rodzinne albo świadczenia pieniężne wypłacane w przypadku bezskuteczności egzekucji alimentów, ściganie przestępstwa określonego w § 1 lub 1a odbywa się z urzędu.
§ 4. Nie podlega karze sprawca przestępstwa określonego w § 1, który nie później niż przed upływem 30 dni od dnia pierwszego przesłuchania w charakterze podejrzanego uiścił w całości zaległe alimenty.
§ 5. Sąd odstępuje od wymierzenia kary, jeżeli nie później niż przed upływem 30 dni od dnia pierwszego przesłuchania w charakterze podejrzanego sprawca przestępstwa określonego w § 1a uiścił w całości zaległe alimenty, chyba że wina i społeczna szkodliwość czynu przemawiają przeciwko odstąpieniu od wymierzenia kary."
Art. 210. Porzucenie małoletniego lub osoby nieporadnej;"§ 1. Kto wbrew obowiązkowi troszczenia się o małoletniego poniżej lat 15 albo o osobę nieporadną ze względu na jej stan psychiczny lub fizyczny osobę tę porzuca,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Jeżeli następstwem czynu jest śmierć osoby określonej w § 1, sprawca
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 211. Uprowadzenie lub zatrzymanie małoletniego albo osoby nieporadnej;"Kto, wbrew woli osoby powołanej do opieki lub nadzoru, uprowadza lub zatrzymuje małoletniego poniżej lat 15 albo osobę nieporadną ze względu na jej stan psychiczny lub fizyczny,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 211a. Organizowanie adopcji dzieci w celu osiągnięcia korzyści majątkowej;"§ 1. Kto, w celu osiągnięcia korzyści majątkowej, zajmuje się organizowaniem adopcji dzieci wbrew przepisom ustawy,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega, kto, będąc osobą, której przysługuje władza rodzicielska nad dzieckiem, wyraża zgodę na adopcję tego dziecka przez inną osobę:
1) w celu osiągnięcia korzyści majątkowej lub osobistej, zatajając ten cel przed sądem orzekającym w postępowaniu w sprawie o przysposobienie, a w przypadku wyrażenia przez rodzica zgody na przysposobienie dziecka w przyszłości bez wskazania osoby przysposabiającego – przed sądem przyjmującym oświadczenie o wyrażeniu tej zgody,
2) z pominięciem postępowania w sprawie o przysposobienie.
§ 3. Tej samej karze podlega, kto wyraża zgodę na adopcję dziecka przez siebie w warunkach, o których mowa w § 2."
Art. 212. Zniesławienie;"§ 1. Kto pomawia inną osobę, grupę osób, instytucję, osobę prawną lub jednostkę organizacyjną niemającą osobowości prawnej o takie postępowanie lub właściwości, które mogą poniżyć ją w opinii publicznej lub narazić na utratę zaufania potrzebnego dla danego stanowiska, zawodu lub rodzaju działalności,
podlega grzywnie albo karze ograniczenia wolności.
§ 2. Jeżeli sprawca dopuszcza się czynu określonego w § 1 za pomocą środków masowego komunikowania,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3. W razie skazania za przestępstwo określone w § 1 lub 2 sąd może orzec nawiązkę na rzecz pokrzywdzonego, Polskiego Czerwonego Krzyża albo na inny cel społeczny wskazany przez pokrzywdzonego.
§ 4. Ściganie przestępstwa określonego w § 1 lub 2 odbywa się z oskarżenia prywatnego."
Art. 213. Wyłączenie bezprawności zniesławienia;"§ 1. Nie ma przestępstwa określonego w art. 212 zniesławienie § 1, jeżeli zarzut uczyniony niepublicznie jest prawdziwy.
§ 2. Nie popełnia przestępstwa określonego w art. 212 zniesławienie § 1 lub 2, kto publicznie podnosi lub rozgłasza prawdziwy zarzut:
1) dotyczący postępowania osoby pełniącej funkcję publiczną lub
2) służący obronie społecznie uzasadnionego interesu.
Jeżeli zarzut dotyczy życia prywatnego lub rodzinnego, dowód prawdy może być przeprowadzony tylko wtedy, gdy zarzut ma zapobiec niebezpieczeństwu dla życia lub zdrowia człowieka albo demoralizacji małoletniego."
Art. 214. Odpowiedzialności za zniewagę ze względu na formę zarzutu;Brak przestępstwa wynikający z przyczyn określonych w art. 213 wyłączenie bezprawności zniesławienia nie wyłącza odpowiedzialności sprawcy za zniewagę ze względu na formę podniesienia lub rozgłoszenia zarzutu.
Art. 215. Podanie do publicznej wiadomości wyroku skazującego w sprawie o zniesławienie;Na wniosek pokrzywdzonego sąd orzeka podanie wyroku skazującego do publicznej wiadomości.
Art. 216. Znieważanie osoby;"§ 1. Kto znieważa inną osobę w jej obecności albo choćby pod jej nieobecność, lecz publicznie lub w zamiarze, aby zniewaga do osoby tej dotarła,
podlega grzywnie albo karze ograniczenia wolności.
§ 2. Kto znieważa inną osobę za pomocą środków masowego komunikowania,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3. Jeżeli zniewagę wywołało wyzywające zachowanie się pokrzywdzonego albo jeżeli pokrzywdzony odpowiedział naruszeniem nietykalności cielesnej lub zniewagą wzajemną, sąd może odstąpić od wymierzenia kary.
§ 4. W razie skazania za przestępstwo określone w § 2 sąd może orzec nawiązkę na rzecz pokrzywdzonego, Polskiego Czerwonego Krzyża albo na inny cel społeczny wskazany przez pokrzywdzonego.
§ 5. Ściganie odbywa się z oskarżenia prywatnego."
Art. 217. Naruszenie nietykalności cielesnej;"§ 1. Kto uderza człowieka lub w inny sposób narusza jego nietykalność cielesną,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 2. Jeżeli naruszenie nietykalności wywołało wyzywające zachowanie się pokrzywdzonego albo jeżeli pokrzywdzony odpowiedział naruszeniem nietykalności, sąd może odstąpić od wymierzenia kary.
§ 3. Ściganie odbywa się z oskarżenia prywatnego."
Art. 217a. Naruszenie nietykalności cielesnej osoby podejmującej interwencję na rzecz ochrony bezpieczeństwa;"Kto uderza człowieka lub w inny sposób narusza jego nietykalność cielesną w związku z podjętą przez niego interwencją na rzecz ochrony bezpieczeństwa ludzi lub ochrony bezpieczeństwa lub porządku publicznego,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 218. Złośliwe lub uporczywe naruszanie praw pracownika;"§ 1. (utracił moc)
§ 1a. Kto, wykonując czynności w sprawach z zakresu prawa pracy i ubezpieczeń społecznych, złośliwie lub uporczywie narusza prawa pracownika wynikające ze stosunku pracy lub ubezpieczenia społecznego,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Osoba określona w § 1a, odmawiająca ponownego przyjęcia do pracy, o której przywróceniu orzekł właściwy organ,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3. Osoba określona w § 1a, która będąc zobowiązana orzeczeniem sądu do wypłaty wynagrodzenia za pracę lub innego świadczenia ze stosunku pracy, obowiązku tego nie wykonuje,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 3."
Art. 218a. Uporczywe naruszanie przepisów o ograniczeniu handlu;"Kto, złośliwie lub uporczywie:
1) wbrew zakazowi handlu oraz wykonywania czynności związanych z handlem w niedziele i święta, powierza wykonywanie pracy w handlu lub wykonywanie czynności związanych z handlem pracownikowi lub zatrudnionemu,
2) wbrew zakazowi handlu oraz wykonywania czynności związanych z handlem po godzinie 1400 w dniu 24 grudnia lub w sobotę bezpośrednio poprzedzającą pierwszy dzień Wielkiej Nocy, powierza wykonywanie pracy w handlu lub wykonywanie czynności związanych z handlem pracownikowi lub zatrudnionemu,
podlega grzywnie albo karze ograniczenia wolności."
Art. 219. Niezgłoszenie pracownika do ubezpieczenia społecznego;"Kto narusza przepisy prawa o ubezpieczeniach społecznych, nie zgłaszając, nawet za zgodą zainteresowanego, wymaganych danych albo zgłaszając nieprawdziwe dane mające wpływ na prawo do świadczeń albo ich wysokość,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 220. Narażenie życia albo zdrowia pracownika;"§ 1. Kto, będąc odpowiedzialny za bezpieczeństwo i higienę pracy, nie dopełnia wynikającego stąd obowiązku i przez to naraża pracownika na bezpośrednie niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,
podlega karze pozbawienia wolności do lat 3.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3. Nie podlega karze sprawca, który dobrowolnie uchylił grożące niebezpieczeństwo."
Art. 221. Niezawiadomienie o wypadku przy pracy lub chorobie zawodowej pracownika;"Kto wbrew obowiązkowi nie zawiadamia w terminie właściwego organu o wypadku przy pracy lub chorobie zawodowej albo nie sporządza lub nie przedstawia wymaganej dokumentacji,
podlega grzywnie do 180 stawek dziennych albo karze ograniczenia wolności."
Art. 222. Naruszenie nietykalności cielesnej funkcjonariusza publicznego lub osoby do pomocy mu przybranej;"§ 1. Kto narusza nietykalność cielesną funkcjonariusza publicznego lub osoby do pomocy mu przybranej podczas lub w związku z pełnieniem obowiązków służbowych,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 3.
§ 2. Jeżeli czyn określony w § 1 wywołało niewłaściwe zachowanie się funkcjonariusza lub osoby do pomocy mu przybranej, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia."
