;crime;penalty
119;§ 1. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia, inny niż określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1,;§ 2. Tej samej karze podlega, kto udostępnia mienie określone w § 1 zorganizowanej grupie lub związkowi mającym na celu popełnienie przestępstwa, o którym mowa w tym przepisie, osobie biorącej udział w takiej grupie lub związku lub osobie, która ma zamiar popełnienia takiego przestępstwa.
120;§ 2. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia trwający nie dłużej niż 7 dni,;karze pozbawienia wolności do lat 3.
121;§ 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;§ 4. Tej samej karze podlega sprawca czynu określonego w § 1 lub 2, który działa nieumyślnie.
122;§ 4. Ściganie przestępstwa określonego w § 2 lub 3, jeżeli naruszenie czynności narządu ciała lub rozstrój zdrowia nie trwał dłużej niż 7 dni, odbywa się z oskarżenia prywatnego, chyba że pokrzywdzonym jest osoba najbliższa zamieszkująca wspólnie ze sprawcą.;karze pozbawienia wolności od lat 2 do 15.
123;§ 5. Jeżeli pokrzywdzonym jest osoba najbliższa, ściganie przestępstwa określonego w § 3 następuje na jej wniosek.;karze pozbawienia wolności od lat 3 do 20.
124;§ 1. Kto powoduje uszkodzenie ciała dziecka poczętego lub rozstrój zdrowia zagrażający jego życiu,;karze pozbawienia wolności od lat 5 do 25.
125;§ 2. Nie popełnia przestępstwa lekarz, jeżeli uszkodzenie ciała lub rozstrój zdrowia dziecka poczętego są następstwem działań leczniczych, koniecznych dla uchylenia niebezpieczeństwa grożącego zdrowiu lub życiu kobiety ciężarnej albo dziecka poczętego.;karze pozbawienia wolności od 3 miesięcy do lat 5.
126;§ 1. Kto bierze udział w bójce lub pobiciu, w którym naraża się człowieka na bezpośrednie niebezpieczeństwo utraty życia albo nastąpienie skutku określonego w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub w art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,;§ 2. Tej samej karze podlega, kto niszczy, uszkadza lub czyni niezdatnym do użytku urządzenie nawigacyjne albo uniemożliwia jego obsługę, jeżeli może to zagrażać bezpieczeństwu osób.
127;§ 2. Jeżeli następstwem bójki lub pobicia jest ciężki uszczerbek na zdrowiu człowieka, sprawca;karze pozbawienia wolności do lat 3.
128;§ 3. Jeżeli następstwem bójki lub pobicia jest śmierć człowieka, sprawca;§ 1. Nie podlega karze za przestępstwo określone w art. 164 sprowadzenie niebezpieczeństwa katastrofy lub 167 sprawca, który dobrowolnie uchylił grożące niebezpieczeństwo.
129;Kto, biorąc udział w bójce lub pobiciu człowieka, używa broni palnej, noża lub innego podobnie niebezpiecznego przedmiotu,;karze pozbawienia wolności od roku do lat 10.
130;§ 1. Kto naraża człowieka na bezpośrednie niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,;karze pozbawienia wolności od 6 miesięcy do lat 8.
131;§ 2. Jeżeli na sprawcy ciąży obowiązek opieki nad osobą narażoną na niebezpieczeństwo,;§ 2. Tej samej karze podlega, kto wbrew obowiązkowi dopuszcza do popełnienia czynu określonego w § 1.
132;§ 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;§ 3. Tej samej karze podlega, kto przedmioty określone w § 1 odstępuje osobie nieuprawnionej.
133;§ 5. Ściganie przestępstwa określonego w § 3 następuje na wniosek pokrzywdzonego.;karze pozbawienia wolności od 3 miesięcy do lat 5.
134;§ 1. Kto, wiedząc, że jest zarażony wirusem HIV lub dotknięty chorobą weneryczną lub zakaźną, ciężką chorobą nieuleczalną lub realnie zagrażającą życiu, naraża bezpośrednio inną osobę na zarażenie tym wirusem lub taką chorobą,;karze pozbawienia wolności od roku do lat 10.
135;§ 3. Jeżeli sprawca czynu określonego w § 1 naraża na zarażenie wiele osób,;karze pozbawienia wolności od 3 miesięcy do lat 5.
136;§ 4. Ściganie przestępstwa określonego w § 1 następuje na wniosek pokrzywdzonego.;karze pozbawienia wolności od lat 2 do 15.
137;§ 1. Kto człowiekowi znajdującemu się w położeniu grożącym bezpośrednim niebezpieczeństwem utraty życia albo ciężkiego uszczerbku na zdrowiu nie udziela pomocy, mogąc jej udzielić bez narażenia siebie lub innej osoby na niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,;karze pozbawienia wolności od 6 miesięcy do lat 8.
138;§ 2. Nie popełnia przestępstwa, kto nie udziela pomocy, do której jest konieczne poddanie się zabiegowi lekarskiemu albo w warunkach, w których możliwa jest niezwłoczna pomoc ze strony instytucji lub osoby do tego powołanej.;karze pozbawienia wolności od 6 miesięcy do lat 8.
139;§ 1. Kto sprowadza zdarzenie, które zagraża życiu lub zdrowiu wielu osób albo mieniu w wielkich rozmiarach, mające postać:;karze pozbawienia wolności do lat 3.
140;1) pożaru,;karze pozbawienia wolności do lat 3.
141;2) zawalenia się budowli, zalewu albo obsunięcia się ziemi, skał lub śniegu,;§ 1. Nie podlega karze sprawca przestępstwa określonego w art. 174 sprowadzenie bezpośredniego niebezpieczeństwa katastrofy w ruchu, który dobrowolnie uchylił grożące niebezpieczeństwo.
142;3) eksplozji materiałów wybuchowych lub łatwopalnych albo innego gwałtownego wyzwolenia energii, rozprzestrzeniania się substancji trujących, duszących lub parzących,;karze pozbawienia wolności do lat 3.
143;4) gwałtownego wyzwolenia energii jądrowej lub wyzwolenia promieniowania jonizującego,;karze pozbawienia wolności od 6 miesięcy do lat 8.
144;§ 2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności do lat 3.
145;§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
146;§ 4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
147;§ 1. Kto sprowadza bezpośrednie niebezpieczeństwo zdarzenia określonego w art. 163 sprowadzenie zdarzenia niebezpiecznego § 1,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
148;§ 2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności od 3 miesięcy do lat 5.
149;§ 1. Kto sprowadza niebezpieczeństwo dla życia lub zdrowia wielu osób albo dla mienia w wielkich rozmiarach:;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
150;1) powodując zagrożenie epidemiologiczne lub szerzenie się choroby zakaźnej albo zarazy zwierzęcej lub roślinnej,;karze pozbawienia wolności od 6 miesięcy do lat 8.
151;2) wyrabiając lub wprowadzając do obrotu szkodliwe dla zdrowia substancje, środki spożywcze lub inne artykuły powszechnego użytku lub też środki farmaceutyczne nie odpowiadające obowiązującym warunkom jakości,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności od 3 miesięcy do lat 5.
152;3) powodując uszkodzenie lub unieruchomienie urządzenia użyteczności publicznej, w szczególności urządzenia dostarczającego wodę, światło, ciepło, gaz, energię albo urządzenia zabezpieczającego przed nastąpieniem niebezpieczeństwa powszechnego lub służącego do jego uchylenia,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
153;4) zakłócając, uniemożliwiając lub w inny sposób wpływając na automatyczne przetwarzanie, gromadzenie lub przekazywanie danych informatycznych,;grzywnie albo karze ograniczenia wolności.
154;5) działając w inny sposób w okolicznościach szczególnie niebezpiecznych,;karze pozbawienia wolności od 6 miesięcy do lat 8.
155;§ 2. Jeżeli sprawca działa nieumyślnie,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 3.
156;§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od roku do lat 10.
157;§ 4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
158;§ 1. Kto gromadzi, przekazuje lub oferuje środki płatnicze, instrumenty finansowe, papiery wartościowe, wartości dewizowe, prawa majątkowe lub inne mienie ruchome lub nieruchomości w zamiarze sfinansowania przestępstwa o charakterze terrorystycznym lub przestępstwa, o którym mowa w art. 120 stosowanie środków masowej zagłady, art. 121 wytwarzanie, gromadzenie i obrót środkami zakazanymi, art. 136 czynna napaść lub znieważenie przedstawiciela obcego państwa, art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego, art. 167 umieszczenie na statku lub w publicznym środku transportu lądowego niebezpiecznego urządzenia lub substancji, art. 171 wytwarzanie lub obrót substancjami, materiałami i urządzeniami niebezpiecznymi, art. 252 wzięcie lub przetrzymywanie zakładnika, art. 255a rozpowszechnianie treści ułatwiających popełnienie przestępstwa o charakterze terrorystycznym lub art. 259a przekroczenie granicy RP w celu popełnienia przestępstwa o charakterze terrorystycznym,;karze pozbawienia wolności od roku do lat 10.
159;§ 3. Kto, nie będąc do tego obowiązany na mocy ustawy, pokrywa koszty związane z zaspokojeniem potrzeb lub wykonaniem zobowiązań finansowych grupy, związku lub osoby, o których mowa w § 2,;§ 2. Tej samej karze podlega, kto wbrew przepisom przywozi z zagranicy substancje zagrażające środowisku.
160;§ 1. Kto, stosując podstęp albo gwałt na osobie lub groźbę bezpośredniego użycia takiego gwałtu, przejmuje kontrolę nad statkiem wodnym lub powietrznym albo nad publicznym środkiem transportu lądowego,;karze pozbawienia wolności od lat 2 do 12.
161;§ 2. Kto, działając w sposób określony w § 1, sprowadza bezpośrednie niebezpieczeństwo dla życia lub zdrowia wielu osób,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 5.
162;§ 3. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
163;§ 1. Kto umieszcza na statku wodnym lub powietrznym albo w publicznym środku transportu lądowego urządzenie lub substancję zagrażającą bezpieczeństwu osób lub mieniu znacznej wartości,;§ 2. Tej samej karze podlega, kto wbrew obowiązkowi dopuszcza do popełnienia czynu określonego w § 1.
164;Kto czyni przygotowania do przestępstwa określonego w art. 163 sprowadzenie zdarzenia niebezpiecznego § 1, art. 165 sprowadzenie niebezpieczeństwa powszechnego § 1, art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego § 1 lub w art. 167 umieszczenie na statku lub w publicznym środku transportu lądowego niebezpiecznego urządzenia lub substancji § 1,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
165;§ 2. Wobec sprawcy przestępstwa określonego w art. 163 sprowadzenie zdarzenia niebezpiecznego § 1 lub 2, art. 165 sprowadzenie niebezpieczeństwa powszechnego § 1 lub 2 lub w art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego § 2 sąd może zastosować nadzwyczajne złagodzenie kary, jeżeli sprawca dobrowolnie uchylił niebezpieczeństwo grożące życiu lub zdrowiu wielu osób.;karze pozbawienia wolności od lat 2 do 12.
166;§ 3. Wobec sprawcy przestępstwa określonego w art. 166 przejęcie kontroli nad statkiem wodnym lub powietrznym albo publicznym środkiem transportu lądowego § 1 sąd może zastosować nadzwyczajne złagodzenie kary, jeżeli sprawca przekazał statek lub kontrolę nad nim osobie uprawnionej.;karze pozbawienia wolności od lat 2 do 12.
167;Kto uzbraja lub przysposabia statek morski przeznaczony do dokonania na morzu rabunku lub na takim statku przyjmuje służbę,;karze pozbawienia wolności od lat 3 do 20.
168;§ 1. Kto, bez wymaganego zezwolenia lub wbrew jego warunkom, wyrabia, przetwarza, gromadzi, posiada, posługuje się lub handluje substancją lub przyrządem wybuchowym, materiałem radioaktywnym, urządzeniem emitującym promienie jonizujące lub innym przedmiotem lub substancją, która może sprowadzić niebezpieczeństwo dla życia lub zdrowia wielu osób albo mienia w wielkich rozmiarach,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności od 3 miesięcy do lat 5.
169;Kto przeszkadza działaniu mającemu na celu zapobieżenie niebezpieczeństwu dla życia lub zdrowia wielu osób albo mienia w wielkich rozmiarach,;§ 2. Tej samej karze podlega, kto oddaje lub wbrew obowiązkowi dopuszcza do użytkowania obiekt budowlany lub zespół obiektów nie mających wymaganych prawem urządzeń określonych w § 1.
170;§ 1. Kto sprowadza katastrofę w ruchu lądowym, wodnym lub powietrznym zagrażającą życiu lub zdrowiu wielu osób albo mieniu w wielkich rozmiarach,;grzywnie albo karze ograniczenia wolności.
171;§ 2. Jeżeli sprawca działa nieumyślnie,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
172;§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;grzywnie albo karze ograniczenia wolności.
173;§ 4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
174;§ 1. Kto sprowadza bezpośrednie niebezpieczeństwo katastrofy w ruchu lądowym, wodnym lub powietrznym,;karze pozbawienia wolności od 3 miesięcy do lat 5.
175;§ 2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności od roku do lat 10.
176;Kto czyni przygotowania do przestępstwa określonego w art. 173 sprowadzenie katastrofy komunikacyjnej § 1,;karze pozbawienia wolności od lat 2 do 15.
177;§ 2. Wobec sprawcy przestępstwa określonego w art. 173 sprowadzenie katastrofy komunikacyjnej § 1 lub 2 sąd może zastosować nadzwyczajne złagodzenie kary, jeżeli sprawca dobrowolnie uchylił niebezpieczeństwo grożące życiu lub zdrowiu wielu osób.;karze pozbawienia wolności od lat 5 do 25.
178;§ 1. Kto, naruszając, chociażby nieumyślnie, zasady bezpieczeństwa w ruchu lądowym, wodnym lub powietrznym, powoduje nieumyślnie wypadek, w którym inna osoba odniosła obrażenia ciała określone w art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,;karze pozbawienia wolności od lat 3 do 20.
179;§ 2. Jeżeli następstwem wypadku jest śmierć innej osoby albo ciężki uszczerbek na jej zdrowiu, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
180;§ 3. Jeżeli pokrzywdzonym jest wyłącznie osoba najbliższa, ściganie przestępstwa określonego w § 1 następuje na jej wniosek.;karze pozbawienia wolności do lat 3.
181;§ 1. Skazując sprawcę, który popełnił przestępstwo określone w art. 173 sprowadzenie katastrofy komunikacyjnej § 1 lub 2, art. 174 sprowadzenie bezpośredniego niebezpieczeństwa katastrofy w ruchu lub art. 177 spowodowanie wypadku w ruchu § 1 znajdując się w stanie nietrzeźwości lub pod wpływem środka odurzającego lub zbiegł z miejsca zdarzenia lub spożywał alkohol lub zażywał środek odurzający po popełnieniu czynu określonego w art. 173 sprowadzenie katastrofy komunikacyjnej § 1 lub 2, art. 174 sprowadzenie bezpośredniego niebezpieczeństwa katastrofy w ruchu lub art. 177 spowodowanie wypadku w ruchu § 1, a przed poddaniem go przez uprawniony organ badaniu w celu ustalenia w organizmie zawartości alkoholu lub obecności środka odurzającego, sąd orzeka karę pozbawienia wolności przewidzianą za przypisane sprawcy przestępstwo w wysokości od dolnej granicy ustawowego zagrożenia zwiększonego o połowę do górnej granicy tego zagrożenia zwiększonego o połowę.;karze pozbawienia wolności od 6 miesięcy do lat 8.
182;§ 1a. Skazując sprawcę, który popełnił przestępstwo określone w art. 173 sprowadzenie katastrofy komunikacyjnej § 3 lub 4 lub art. 177 spowodowanie wypadku w ruchu § 2, w warunkach określonych w § 1 lub którego dotyczy wskazana w tym przepisie okoliczność, sąd orzeka karę pozbawienia wolności w wysokości nie niższej niż:;§ 2. Tej samej karze podlega, kto, podszywając się pod inną osobę, wykorzystuje jej wizerunek, inne jej dane osobowe lub inne dane, za pomocą których jest ona publicznie identyfikowana, przez co wyrządza jej szkodę majątkową lub osobistą.
183;1) 3 lata, jeżeli następstwem wypadku jest ciężki uszczerbek na zdrowiu innej osoby albo następstwem katastrofy jest ciężki uszczerbek na zdrowiu wielu osób,;§ 3. Jeżeli następstwem czynu określonego w § 1 lub 2 jest targnięcie się pokrzywdzonego na własne życie, sprawca podlega karze pozbawienia wolności od lat 2 do 15.
184;2) 5 lat, jeżeli następstwem wypadku albo katastrofy jest śmierć człowieka;karze pozbawienia wolności do lat 3.
185;– do dwukrotności górnej granicy ustawowego zagrożenia.;§ 1a. Tej samej karze podlega, kto w celu zmuszenia innej osoby do określonego działania, zaniechania lub znoszenia stosuje przemoc innego rodzaju uporczywie lub w sposób istotnie utrudniający innej osobie korzystanie z zajmowanego lokalu mieszkalnego.
186;§ 3. W razie skazania, o którym mowa w § 1 lub 1a, sąd może orzec przepadek, o którym mowa w art. 44b przepadek pojazdu mechanicznego prowadzonego przez sprawcę lub równowartości pojazdu, a orzeka go, jeżeli zawartość alkoholu w organizmie sprawcy była wyższa niż 1 promil we krwi lub 0,5 mg/dmidx3 w wydychanym powietrzu albo prowadziła do takiego stężenia.;karze pozbawienia wolności od 3 miesięcy do lat 5.
187;§ 1. Kto, znajdując się w stanie nietrzeźwości lub pod wpływem środka odurzającego, prowadzi pojazd mechaniczny w ruchu lądowym, wodnym lub powietrznym;karze pozbawienia wolności od 3 miesięcy do lat 5.
188;§ 4. Jeżeli sprawca czynu określonego w § 1 był wcześniej prawomocnie skazany za prowadzenie pojazdu mechanicznego w stanie nietrzeźwości lub pod wpływem środka odurzającego albo za przestępstwo określone w art. 173 sprowadzenie katastrofy komunikacyjnej, art. 174 sprowadzenie bezpośredniego niebezpieczeństwa katastrofy w ruchu, art. 177 spowodowanie wypadku w ruchu lub art. 355 spowodowanie wypadku komunikacyjnego przez żołnierza § 2 popełnione w stanie nietrzeźwości lub pod wpływem środka odurzającego lub dopuścił się czynu określonego w § 1 w okresie obowiązywania zakazu prowadzenia pojazdów mechanicznych orzeczonego w związku ze skazaniem za przestępstwo,;karze pozbawienia wolności od 3 miesięcy do 5 lat.
189;§ 5. Sąd orzeka przepadek, o którym mowa w art. 44b przepadek pojazdu mechanicznego prowadzonego przez sprawcę lub równowartości pojazdu, w razie popełnienia przestępstwa określonego w § 1 lub 4, chyba że zawartość alkoholu w organizmie sprawcy przestępstwa określonego w § 1 była niższa niż 1,5 promila we krwi lub 0,75 mg/dm3 w wydychanym powietrzu albo nie prowadziła do takiego stężenia. Sąd może odstąpić od orzeczenia przepadku, jeżeli zachodzi wyjątkowy wypadek, uzasadniony szczególnymi okolicznościami.;§ 2. Tej samej karze podlega kto w celu popełnienia przestępstwa określonego w § 1, używając podstępu lub nadużywając stosunku zależności lub wykorzystując krytyczne położenie, nakłania inną osobę do opuszczenia terytorium Rzeczypospolitej Polskiej.
190;Kto, pomimo wydania przez osobę uprawnioną do kontroli ruchu drogowego, poruszającą się pojazdem lub znajdującą się na statku wodnym albo powietrznym, przy użyciu sygnałów dźwiękowych i świetlnych, polecenia zatrzymania pojazdu mechanicznego nie zatrzymuje niezwłocznie pojazdu i kontynuuje jazdę,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
191;Kto wbrew szczególnemu obowiązkowi dopuszcza do ruchu pojazd mechaniczny albo inny pojazd w stanie bezpośrednio zagrażającym bezpieczeństwu w ruchu lądowym, wodnym lub powietrznym lub dopuszcza do prowadzenia pojazdu mechanicznego albo innego pojazdu na drodze publicznej, w strefie zamieszkania lub w strefie ruchu przez osobę znajdującą się w stanie nietrzeźwości, będącą pod wpływem środka odurzającego lub osobę nieposiadającą wymaganych uprawnień,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
192;Kto, znajdując się w stanie nietrzeźwości lub pod wpływem środka odurzającego, pełni czynności związane bezpośrednio z zapewnieniem bezpieczeństwa ruchu pojazdów mechanicznych,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
193;Kto na drodze publicznej, w strefie zamieszkania lub w strefie ruchu, prowadzi pojazd mechaniczny, nie stosując się do decyzji właściwego organu o cofnięciu uprawnienia do kierowania pojazdami;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
194;§ 1. Kto powoduje zniszczenie w świecie roślinnym lub zwierzęcym w znacznych rozmiarach,;§ 2. Tej samej karze podlega, kto złośliwie przeszkadza pogrzebowi, uroczystościom lub obrzędom żałobnym.
195;§ 2. Kto, wbrew przepisom obowiązującym na terenie objętym ochroną, niszczy lub uszkadza rośliny, zwierzęta, grzyby lub ich siedliska, lub siedliska przyrodnicze, powodując istotną szkodę,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
196;§ 3. Karze określonej w § 2 podlega także ten, kto niezależnie od miejsca czynu niszczy lub uszkadza rośliny, zwierzęta, grzyby pozostające pod ochroną gatunkową lub ich siedliska, powodując istotną szkodę.;karze pozbawienia wolności od lat 2 do 15.
197;§ 4. Jeżeli sprawca czynu określonego w § 1 działa nieumyślnie,;karze pozbawienia wolności od 6 miesięcy do lat 8.
198;§ 5. Jeżeli sprawca czynu określonego w § 2 lub 3 działa nieumyślnie,;karze pozbawienia wolności od lat 3 do 20.
199;§ 1. Kto zanieczyszcza wodę, powietrze lub powierzchnię ziemi substancją albo promieniowaniem jonizującym w takiej ilości lub w takiej postaci, że może to zagrozić życiu lub zdrowiu człowieka lub spowodować istotne obniżenie jakości wody, powietrza lub powierzchni ziemi lub zniszczenie w świecie roślinnym lub zwierzęcym w znacznych rozmiarach,;karze pozbawienia wolności na czas nie krótszy od lat 5 albo karze dożywotniego pozbawienia wolności.
200;§ 2. Jeżeli sprawca czynu określonego w § 1 działa nieumyślnie,;karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.
201;§ 3. Jeżeli czyn określony w § 1 został popełniony w związku z eksploatacją instalacji działającej w ramach zakładu, w zakresie korzystania ze środowiska, na które wymagane jest pozwolenie, sprawca;karze pozbawienia wolności od 6 miesięcy do lat 8.
202;§ 4. Jeżeli sprawca czynu określonego w § 3 działa nieumyślnie,;karze pozbawienia wolności do lat 3.
203;§ 1. Kto wbrew przepisom składuje, usuwa, przetwarza, zbiera, unieszkodliwia, transportuje odpady lub substancje albo dokonuje odzysku odpadów lub substancji w takich warunkach lub w taki sposób, że może to zagrozić życiu lub zdrowiu człowieka lub spowodować obniżenie jakości wody, powietrza lub powierzchni ziemi lub zniszczenie w świecie roślinnym lub zwierzęcym,;§ 2. Jeżeli czyn określony w § 1 został popełniony na szkodę małoletniego, sprawca podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
204;§ 3. Karze określonej w § 1 podlega, kto wbrew obowiązkowi dopuszcza do popełnienia czynu określonego w § 1, 2 i 4.;karze pozbawienia wolności od lat 2 do 15.
205;§ 4. Karze określonej w § 1 podlega, kto wbrew przepisom przywozi odpady z zagranicy lub wywozi odpady za granicę.;karze pozbawienia wolności do lat 3.
206;§ 5. Kto bez wymaganego zgłoszenia lub zezwolenia albo wbrew jego warunkom przywozi z zagranicy lub wywozi za granicę odpady niebezpieczne,;karze pozbawienia wolności do lat 3.
207;§ 5a. Karze określonej w § 5 podlega, kto porzuca odpady niebezpieczne w miejscu nieprzeznaczonym do ich składowania lub magazynowania.;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
208;§ 6. Jeżeli sprawca czynu określonego w § 1–5a działa nieumyślnie,;karze pozbawienia wolności do lat 3.
209;§ 1. Kto wyrabia, przetwarza, transportuje, przywozi z zagranicy, wywozi za granicę, gromadzi, składuje, przechowuje, posiada, wykorzystuje, posługuje się, usuwa, porzuca lub pozostawia bez właściwego zabezpieczenia materiał jądrowy albo inne źródło promieniowania jonizującego, w takich warunkach lub w taki sposób, że może to zagrozić życiu lub zdrowiu człowieka lub spowodować istotne obniżenie jakości wody, powietrza lub powierzchni ziemi lub zniszczenie w świecie roślinnym lub zwierzęcym w znacznych rozmiarach,;karze pozbawienia wolności od 3 miesięcy do lat 5.
210;§ 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;karze pozbawienia wolności do lat 3.
211;§ 1. Jeżeli następstwem czynu określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1 lub 3 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2 jest zniszczenie w świecie roślinnym lub zwierzęcym w znacznych rozmiarach lub istotne obniżenie jakości wody, powietrza lub powierzchni ziemi, sprawca;karze pozbawienia wolności od lat 2 do 15.
212;§ 2. Jeżeli następstwem czynu określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1 lub 3 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2 jest ciężki uszczerbek na zdrowiu człowieka, sprawca;karze pozbawienia wolności od roku do lat 10.
213;§ 3. Jeżeli następstwem czynu określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1 lub 3 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
214;§ 1. Kto wbrew obowiązkowi nie utrzymuje w należytym stanie lub nie używa urządzeń zabezpieczających wodę, powietrze lub powierzchnię ziemi przed zanieczyszczeniem lub urządzeń zabezpieczających przed skażeniem promieniotwórczym lub promieniowaniem jonizującym,;karze pozbawienia wolności do lat 3.
215;§ 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;karze pozbawienia wolności od roku do lat 10.
216;§ 1. Kto niszczy, poważnie uszkadza lub istotnie zmniejsza wartość przyrodniczą prawnie chronionego terenu lub obiektu, powodując istotną szkodę,;karze pozbawienia wolności od lat 2 do 15.
217;§ 2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności od 3 miesięcy do lat 5.
218;Kto, na terenie objętym ochroną ze względów przyrodniczych lub krajobrazowych albo w otulinie takiego terenu, wbrew przepisom, wznosi nowy lub powiększa istniejący obiekt budowlany albo prowadzi działalność gospodarczą zagrażającą środowisku,;karze pozbawienia wolności od roku do lat 10.
219;Wobec sprawcy przestępstwa określonego w art. 182 zanieczyszczanie środowiska w znacznych rozmiarach § 1 lub 3, art. 183 naruszanie przepisów w postępowaniu z odpadami § 1, 3, 5a lub 6 lub w art. 184 nieodpowiednie postępowanie z materiałami promieniowania jonizującego § 1 lub 2, który dobrowolnie naprawił szkodę w całości albo w znacznej części, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
220;§ 1. Kto pozbawia człowieka wolności,;karze pozbawienia wolności od 3 miesięcy do lat 5.
221;§ 2. Jeżeli pozbawienie wolności trwało dłużej niż 7 dni, sprawca;karze pozbawienia wolności od 6 miesięcy do lat 8.
222;§ 2a. Jeżeli pozbawienie wolności, o którym mowa w § 2, dotyczy osoby nieporadnej ze względu na jej wiek, stan psychiczny lub fizyczny, sprawca;karze pozbawienia wolności od roku do lat 10.
223;§ 3. Jeżeli pozbawienie wolności, o którym mowa w § 1–2a, łączyło się ze szczególnym udręczeniem, sprawca;karze pozbawienia wolności od lat 2 do 15.
224;§ 1. Kto dopuszcza się handlu ludźmi;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
